State,Year,original_domain_category,type,use,name,code,Value
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",CHEMICAL,FUNGICIDE,OXATHIAPIPROLIN,128111,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",CHEMICAL,INSECTICIDE,CYCLANILIPROLE,26202,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",CHEMICAL,INSECTICIDE,PERMETHRIN,109701,(D)
CALIFORNIA,2023,"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",CHEMICAL,OTHER,ISARIA FUMOSOROSEA STRAIN FE 9901,115003,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",CHEMICAL,FUNGICIDE,OXATHIAPIPROLIN,128111,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",CHEMICAL,INSECTICIDE,CYCLANILIPROLE,26202,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",CHEMICAL,INSECTICIDE,PERMETHRIN,109701,(D)
CALIFORNIA,2023,"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",CHEMICAL,OTHER,ISARIA FUMOSOROSEA STRAIN FE 9901,115003,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",CHEMICAL,FUNGICIDE,OXATHIAPIPROLIN,128111,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",CHEMICAL,INSECTICIDE,CYCLANILIPROLE,26202,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",CHEMICAL,INSECTICIDE,PERMETHRIN,109701,(D)
CALIFORNIA,2023,"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",CHEMICAL,OTHER,ISARIA FUMOSOROSEA STRAIN FE 9901,115003,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",CHEMICAL,FUNGICIDE,OXATHIAPIPROLIN,128111,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",CHEMICAL,INSECTICIDE,CYCLANILIPROLE,26202,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",CHEMICAL,INSECTICIDE,PERMETHRIN,109701,(D)
CALIFORNIA,2023,"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",CHEMICAL,OTHER,ISARIA FUMOSOROSEA STRAIN FE 9901,115003,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",CHEMICAL,FUNGICIDE,OXATHIAPIPROLIN,128111,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",CHEMICAL,INSECTICIDE,CYCLANILIPROLE,26202,(D)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",CHEMICAL,INSECTICIDE,PERMETHRIN,109701,(D)
CALIFORNIA,2023,"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",CHEMICAL,OTHER,ISARIA FUMOSOROSEA STRAIN FE 9901,115003,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",CHEMICAL,FUNGICIDE,AZOXYSTROBIN,128810,"3,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",CHEMICAL,FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747,16482,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)",CHEMICAL,FUNGICIDE,BACILLUS SUBTILIS,6479,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BLAD = 30006)",CHEMICAL,FUNGICIDE,BLAD,30006,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)",CHEMICAL,FUNGICIDE,BORAX DECAHYDRATE,11102,"2,800"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",CHEMICAL,FUNGICIDE,BOSCALID,128008,"6,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)",CHEMICAL,FUNGICIDE,BT SUBSP KURSTAKI EVB-113-19,6544,(NA)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",CHEMICAL,FUNGICIDE,CAPTAN,81301,"603,100"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",CHEMICAL,FUNGICIDE,CYFLUFENAMID,555550,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",CHEMICAL,FUNGICIDE,CYPRODINIL,288202,"30,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)",CHEMICAL,FUNGICIDE,DIFENOCONAZOLE,128847,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",CHEMICAL,FUNGICIDE,FENHEXAMID,90209,"8,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",CHEMICAL,FUNGICIDE,FLUDIOXONIL,71503,"22,400"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",CHEMICAL,FUNGICIDE,FLUOPYRAM,80302,"14,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",CHEMICAL,FUNGICIDE,FLUXAPYROXAD,138009,"7,100"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)",CHEMICAL,FUNGICIDE,FOSETYL-AL,123301,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)",CHEMICAL,FUNGICIDE,ISOFETAMID,270000,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",CHEMICAL,FUNGICIDE,MEFENOXAM,113502,"7,200"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)",CHEMICAL,FUNGICIDE,MONO-POTASSIUM SALT,76416,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",CHEMICAL,FUNGICIDE,MYCLOBUTANIL,128857,"10,800"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",CHEMICAL,FUNGICIDE,PENTHIOPYRAD,90112,"4,000"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",CHEMICAL,FUNGICIDE,POLYOXIN D ZINC SALT,230000,"3,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",CHEMICAL,FUNGICIDE,PROPICONAZOLE,122101,"2,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)",CHEMICAL,FUNGICIDE,PYDIFLUMETOFEN,90110,(D)
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",CHEMICAL,FUNGICIDE,PYRACLOSTROBIN,99100,"10,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",CHEMICAL,FUNGICIDE,PYRIMETHANIL,288201,"8,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",CHEMICAL,FUNGICIDE,QUINOLINE,55459,"3,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (SULFUR = 77501)",CHEMICAL,FUNGICIDE,SULFUR,77501,"1,258,100"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",CHEMICAL,FUNGICIDE,TETRACONAZOLE,120603,"1,300"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",CHEMICAL,FUNGICIDE,THIOPHANATE-METHYL,102001,"10,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (THIRAM = 79801)",CHEMICAL,FUNGICIDE,THIRAM,79801,"269,500"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (TOTAL)",CHEMICAL,FUNGICIDE,TOTAL),NA,"2,338,800"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",CHEMICAL,FUNGICIDE,TRIFLOXYSTROBIN,129112,"14,600"
CALIFORNIA,2023,"CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",CHEMICAL,FUNGICIDE,TRIFLUMIZOLE,128879,(D)
CALIFORNIA,2023,"CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",CHEMICAL,HERBICIDE,CARFENTRAZONE-ETHYL,128712,(D)
CALIFORNIA,2023,"CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",CHEMICAL,HERBICIDE,FLUMIOXAZIN,129034,"3,900"
CALIFORNIA,2023,"CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",CHEMICAL,HERBICIDE,OXYFLUORFEN,111601,(D)
CALIFORNIA,2023,"CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",CHEMICAL,HERBICIDE,PENDIMETHALIN,108501,"71,400"
CALIFORNIA,2023,"CHEMICAL, HERBICIDE: (TOTAL)",CHEMICAL,HERBICIDE,TOTAL),NA,"89,700"
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",CHEMICAL,INSECTICIDE,ABAMECTIN,122804,300
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",CHEMICAL,INSECTICIDE,ACEQUINOCYL,6329,"12,800"
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",CHEMICAL,INSECTICIDE,ACETAMIPRID,99050,"3,300"
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",CHEMICAL,INSECTICIDE,AZADIRACHTIN,121701,"2,800"
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)",CHEMICAL,INSECTICIDE,BEAUVERIA BASSIANA,128924,(NA)
CALIFORNIA,2023,"CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",CHEMICAL,INSECTICIDE,BIFENAZATE,586,"28,700"
