"mkt","measure","Value"
NA,"LB",NA
NA,"LB / ACRE / APPLICATION",NA
NA,"LB / ACRE / YEAR",NA
NA,"NUMBER",NA
NA,"PCT OF AREA BEARING",NA
"BEARING - APPLICATIONS","LB",3300
"BEARING - APPLICATIONS","LB",NA
"BEARING - APPLICATIONS","LB",2800
"BEARING - APPLICATIONS","LB",6600
"BEARING - APPLICATIONS","LB",603100
"BEARING - APPLICATIONS","LB",30300
"BEARING - APPLICATIONS","LB",8600
"BEARING - APPLICATIONS","LB",22400
"BEARING - APPLICATIONS","LB",14600
"BEARING - APPLICATIONS","LB",7100
"BEARING - APPLICATIONS","LB",7200
"BEARING - APPLICATIONS","LB",10800
"BEARING - APPLICATIONS","LB",4000
"BEARING - APPLICATIONS","LB",2300
"BEARING - APPLICATIONS","LB",10600
"BEARING - APPLICATIONS","LB",8300
"BEARING - APPLICATIONS","LB",3600
"BEARING - APPLICATIONS","LB",1258100
"BEARING - APPLICATIONS","LB",1300
"BEARING - APPLICATIONS","LB",269500
"BEARING - APPLICATIONS","LB",2338800
"BEARING - APPLICATIONS","LB",3900
"BEARING - APPLICATIONS","LB",71400
"BEARING - APPLICATIONS","LB",89700
"BEARING - APPLICATIONS","LB",300
"BEARING - APPLICATIONS","LB",12800
"BEARING - APPLICATIONS","LB",28700
"BEARING - APPLICATIONS","LB",4600
"BEARING - APPLICATIONS","LB",2000
"BEARING - APPLICATIONS","LB",1700
"BEARING - APPLICATIONS","LB",7600
"BEARING - APPLICATIONS","LB",6200
"BEARING - APPLICATIONS","LB",5000
"BEARING - APPLICATIONS","LB",5400
"BEARING - APPLICATIONS","LB",3100
"BEARING - APPLICATIONS","LB",19400
"BEARING - APPLICATIONS","LB",7900
"BEARING - APPLICATIONS","LB",5600
"BEARING - APPLICATIONS","LB",3800
"BEARING - APPLICATIONS","LB",231600
"BEARING - APPLICATIONS","LB",11299000
"BEARING - APPLICATIONS","LB",1642600
"BEARING - APPLICATIONS","LB",15611900
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.234
