"mkt","measure","name","Value"
NA,"LB","OXATHIAPIPROLIN",NA
NA,"LB","CYCLANILIPROLE",NA
NA,"LB","PERMETHRIN",NA
NA,"LB","ISARIA FUMOSOROSEA STRAIN FE 9901",NA
NA,"LB / ACRE / APPLICATION","OXATHIAPIPROLIN",NA
NA,"LB / ACRE / APPLICATION","CYCLANILIPROLE",NA
NA,"LB / ACRE / APPLICATION","PERMETHRIN",NA
NA,"LB / ACRE / APPLICATION","ISARIA FUMOSOROSEA STRAIN FE 9901",NA
NA,"LB / ACRE / YEAR","OXATHIAPIPROLIN",NA
NA,"LB / ACRE / YEAR","CYCLANILIPROLE",NA
NA,"LB / ACRE / YEAR","PERMETHRIN",NA
NA,"LB / ACRE / YEAR","ISARIA FUMOSOROSEA STRAIN FE 9901",NA
NA,"NUMBER","OXATHIAPIPROLIN",NA
NA,"NUMBER","CYCLANILIPROLE",NA
NA,"NUMBER","PERMETHRIN",NA
NA,"NUMBER","ISARIA FUMOSOROSEA STRAIN FE 9901",NA
NA,"PCT OF AREA BEARING","OXATHIAPIPROLIN",NA
NA,"PCT OF AREA BEARING","CYCLANILIPROLE",NA
NA,"PCT OF AREA BEARING","PERMETHRIN",NA
NA,"PCT OF AREA BEARING","ISARIA FUMOSOROSEA STRAIN FE 9901",NA
"BEARING - APPLICATIONS","LB","AZOXYSTROBIN",3300
"BEARING - APPLICATIONS","LB","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",NA
"BEARING - APPLICATIONS","LB","BACILLUS SUBTILIS",NA
"BEARING - APPLICATIONS","LB","BLAD",NA
"BEARING - APPLICATIONS","LB","BORAX DECAHYDRATE",2800
"BEARING - APPLICATIONS","LB","BOSCALID",6600
"BEARING - APPLICATIONS","LB","BT SUBSP KURSTAKI EVB-113-19",NA
"BEARING - APPLICATIONS","LB","CAPTAN",603100
"BEARING - APPLICATIONS","LB","CYFLUFENAMID",NA
"BEARING - APPLICATIONS","LB","CYPRODINIL",30300
"BEARING - APPLICATIONS","LB","DIFENOCONAZOLE",NA
"BEARING - APPLICATIONS","LB","FENHEXAMID",8600
"BEARING - APPLICATIONS","LB","FLUDIOXONIL",22400
"BEARING - APPLICATIONS","LB","FLUOPYRAM",14600
"BEARING - APPLICATIONS","LB","FLUXAPYROXAD",7100
"BEARING - APPLICATIONS","LB","FOSETYL-AL",NA
"BEARING - APPLICATIONS","LB","ISOFETAMID",NA
"BEARING - APPLICATIONS","LB","MEFENOXAM",7200
"BEARING - APPLICATIONS","LB","MONO-POTASSIUM SALT",NA
"BEARING - APPLICATIONS","LB","MYCLOBUTANIL",10800
"BEARING - APPLICATIONS","LB","PENTHIOPYRAD",4000
"BEARING - APPLICATIONS","LB","POLYOXIN D ZINC SALT",3300
"BEARING - APPLICATIONS","LB","PROPICONAZOLE",2300
"BEARING - APPLICATIONS","LB","PYDIFLUMETOFEN",NA
"BEARING - APPLICATIONS","LB","PYRACLOSTROBIN",10600
"BEARING - APPLICATIONS","LB","PYRIMETHANIL",8300
"BEARING - APPLICATIONS","LB","QUINOLINE",3600
"BEARING - APPLICATIONS","LB","SULFUR",1258100
"BEARING - APPLICATIONS","LB","TETRACONAZOLE",1300
"BEARING - APPLICATIONS","LB","THIOPHANATE-METHYL",10600
"BEARING - APPLICATIONS","LB","THIRAM",269500
"BEARING - APPLICATIONS","LB","TOTAL)",2338800
"BEARING - APPLICATIONS","LB","TRIFLOXYSTROBIN",14600
"BEARING - APPLICATIONS","LB","TRIFLUMIZOLE",NA
"BEARING - APPLICATIONS","LB","CARFENTRAZONE-ETHYL",NA
"BEARING - APPLICATIONS","LB","FLUMIOXAZIN",3900
"BEARING - APPLICATIONS","LB","OXYFLUORFEN",NA
"BEARING - APPLICATIONS","LB","PENDIMETHALIN",71400
"BEARING - APPLICATIONS","LB","TOTAL)",89700
"BEARING - APPLICATIONS","LB","ABAMECTIN",300
"BEARING - APPLICATIONS","LB","ACEQUINOCYL",12800
"BEARING - APPLICATIONS","LB","ACETAMIPRID",3300
