"State","Year","mkt","measure","type","use","name","code","Value"
"CALIFORNIA",2023,NA,"LB","CHEMICAL","FUNGICIDE","OXATHIAPIPROLIN",128111,NA
"CALIFORNIA",2023,NA,"LB","CHEMICAL","INSECTICIDE","CYCLANILIPROLE",26202,NA
"CALIFORNIA",2023,NA,"LB","CHEMICAL","INSECTICIDE","PERMETHRIN",109701,NA
"CALIFORNIA",2023,NA,"LB","CHEMICAL","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA
"CALIFORNIA",2023,NA,"LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","OXATHIAPIPROLIN",128111,NA
"CALIFORNIA",2023,NA,"LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CYCLANILIPROLE",26202,NA
"CALIFORNIA",2023,NA,"LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PERMETHRIN",109701,NA
"CALIFORNIA",2023,NA,"LB / ACRE / APPLICATION","CHEMICAL","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA
"CALIFORNIA",2023,NA,"LB / ACRE / YEAR","CHEMICAL","FUNGICIDE","OXATHIAPIPROLIN",128111,NA
"CALIFORNIA",2023,NA,"LB / ACRE / YEAR","CHEMICAL","INSECTICIDE","CYCLANILIPROLE",26202,NA
"CALIFORNIA",2023,NA,"LB / ACRE / YEAR","CHEMICAL","INSECTICIDE","PERMETHRIN",109701,NA
"CALIFORNIA",2023,NA,"LB / ACRE / YEAR","CHEMICAL","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA
"CALIFORNIA",2023,NA,"NUMBER","CHEMICAL","FUNGICIDE","OXATHIAPIPROLIN",128111,NA
"CALIFORNIA",2023,NA,"NUMBER","CHEMICAL","INSECTICIDE","CYCLANILIPROLE",26202,NA
"CALIFORNIA",2023,NA,"NUMBER","CHEMICAL","INSECTICIDE","PERMETHRIN",109701,NA
"CALIFORNIA",2023,NA,"NUMBER","CHEMICAL","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA
"CALIFORNIA",2023,NA,"PCT OF AREA BEARING","CHEMICAL","FUNGICIDE","OXATHIAPIPROLIN",128111,NA
"CALIFORNIA",2023,NA,"PCT OF AREA BEARING","CHEMICAL","INSECTICIDE","CYCLANILIPROLE",26202,NA
"CALIFORNIA",2023,NA,"PCT OF AREA BEARING","CHEMICAL","INSECTICIDE","PERMETHRIN",109701,NA
"CALIFORNIA",2023,NA,"PCT OF AREA BEARING","CHEMICAL","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","AZOXYSTROBIN",128810,3300
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS",6479,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BLAD",30006,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE",11102,2800
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BOSCALID",128008,6600
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19",6544,NA
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","CAPTAN",81301,603100
"CALIFORNIA",2023,"BEARING - APPLICATIONS","LB","CHEMICAL","FUNGICIDE","CYFLUFENAMID",555550,NA
