"Year","Period","Geo Level","State","State ANSI","Data Item","Domain","Domain Category","Value"
2024,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",10.9
2024,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",4.04
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",123
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",142
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",43.8
2023,"MARKETING YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",121
2023,"MARKETING YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA
2023,"MARKETING YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA
2023,"MARKETING YEAR","STATE","FLORIDA","12","STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",147
2023,"MARKETING YEAR","STATE","FLORIDA","12","STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA
2023,"MARKETING YEAR","STATE","FLORIDA","12","STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA
2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",142
2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",43.8
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - ACRES HARVESTED","TOTAL","NOT SPECIFIED",56800
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - ACRES PLANTED","TOTAL","NOT SPECIFIED",57300
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",3398943000
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",27560000
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED",1378000
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",485
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED",24.26
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",120
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",120
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",10.8
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",3173579000
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",22382200
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, NOT SOLD - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",33400
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",44.4
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",44.4
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",4.05
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",225364000
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",5144400
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",27526600
2023,"YEAR","NATIONAL","US TOTAL",NA,"STRAWBERRIES, UTILIZED - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED",1376330
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - ACRES HARVESTED","TOTAL","NOT SPECIFIED",42700
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - ACRES PLANTED","TOTAL","NOT SPECIFIED",43100
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",2965387000
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",24600000
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",575
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",3300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)",2800
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",6600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",603100
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",30300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",8600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",22400
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",14600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",7100
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",7200
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",10800
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",4000
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",3300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",2300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",10600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",8300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",3600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",1258100
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",1300
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",10600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)",269500
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",2338800
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",14600
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",3900
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",NA
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",71400
2023,"YEAR","STATE","CALIFORNIA","06","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",89700
